"","shadeindex","highlight","Amax","Amaxmass","Rd","Rdmass","Trmax","Trmaxmass","Tr0","Tr0mass","FvFm","Fv'/Fm'","NPQ","SLA","LDMC","thickness","spad","£_15N","N%","Narea","£_13C","pnue","Chlorophylltotal","Chlorophylla","Chlorophyllb","chlorophylla/b","Chlorophylltotalarea","Chlorophyllaarea","Chlorophyllbarea","dif"
"6",0.397940008672038,1.01072386539177,-1.08969326382013,-0.534127121319329,-0.474659226789509,-0.407399169127331,-0.789278861893777,-0.782477430516569,-1.2365686800168,-0.482237733706855,-1.79966388183169,-0.372368409295121,-0.66728707160427,-0.399333674517736,-0.833595805976322,-1.12479406822525,-1.13482323129997,0.210680717362068,-1.32762168453673,-0.497916039228363,-1.35634891679259,-0.456721926500496,-0.900780618775413,-0.902575179501729,-0.894001260165416,-1.20841820491419,-0.485799311849771,-0.470487616303337,-0.529224118272882,0.88930170250631
"1",0.397940008672038,0.921686475483602,-0.330186644103793,-0.345481691929389,-0.39870832149011,-0.436558591800235,-0.312616431440886,-0.301270514670967,-0.277313025644695,-0.263731045188199,-1.76092152753069,-0.589792717717156,-0.742624025261674,-1.23928124970577,-1.03854843557933,-1.06856744036552,-0.681500113256124,0.880433846944416,-1.15826237078766,-0.959699434027608,-1.27167866986158,-0.364080366706808,-0.996552439786443,-1.04783991826574,-0.85683594871259,-0.960438998214543,-0.876852673650968,-0.91026385680241,-0.796614304092311,0.76715586608218
"2",0.477121254719662,1.02118929906994,-0.474999765158099,-0.473661859596289,-0.388767428127937,-0.330876616455662,-0.288711643972561,-0.194157061340525,0.0551829659036753,0.156045140932898,-1.51472446041618,-0.69046104464094,-0.582908020674123,-0.419235502530561,-0.79758248786703,-1.03571638190262,-0.842424983718777,0.660036767276119,-0.824942286230143,-0.462618890958143,-1.32886133768582,-0.383050040540254,-0.98444622061063,-0.996580327423545,-0.799641392430469,-0.665499461699392,-0.48667286045591,-0.506581543780871,-0.481649809207635,0.8750612633917
"5",0.716003343634799,1.32428245529769,-0.409542116964994,-0.674914253474117,-0.285858116527194,-0.571211420952448,-0.459194773286462,-0.530311433390056,-0.158784269704246,-0.0603579596358058,-2.17953571340891,-1.04963064142728,-0.272873445376187,-0.251287266076348,-0.88338873744267,-0.501278973046071,-0.945072786452621,0.0474903323586786,-0.834903035284559,-0.399435030500157,-1.69697528853008,-0.643398043038169,-0.433446794785802,-0.480805323213328,-0.312714325737202,-0.975286565554387,-0.836659192076181,-0.781725513045942,-0.858490223623672,1.20139712432045
"7",0.397940008672038,1.04336227802113,-0.397932709231175,-0.102029885398858,-0.584099247009039,-0.388994895773539,-0.200458001443639,-0.0134862846606598,-0.209380692510533,-0.0401278771854897,-1.79162007092615,-0.410479214364446,-0.4569802146699,-0.441330599710484,-0.837096467662918,-0.869557245888253,-1.08267956464326,0.885966706408484,-1.06212106700331,-0.510587522297377,-1.25871901335839,-0.051679113409192,-0.661251648822672,-0.669705860765664,-0.624327470376372,-1.20676871223524,-0.497991672986822,-0.483033686939603,-0.541090582082068,0.931966114728173
"8",0.423245873936808,0.982271233039568,-0.485022685773152,-0.325857597319202,-0.467894790393017,-0.393945508213075,-0.668312872418227,-0.0714185530184709,-0.470188955409777,0.0261545734418118,-1.67175077565579,-1.11846927659231,-0.988329069617034,-0.139757169824977,-0.568549524136546,-0.934427398636466,-0.805991964827239,0.497270568071534,-1.31862383387274,-0.365873074953346,-1.16789530551174,-0.253549477462524,-0.512449974956222,-0.497297338287337,-0.536542259450235,-1.27729731706825,-0.228676805894712,-0.225225944346487,-0.238770505174572,0.841984804590114
"4",0.531478917042255,1.18184358794477,-0.43831888885291,-0.485096755370401,-0.537455439796195,-0.513825134513384,-0.373011472375647,-0.473684594648773,-0.282211018063861,-0.229261111185151,-1.57723553517403,-0.561931166005586,-0.288065349394922,-0.765378738343189,-0.818311013321317,-0.924363071747154,-0.706931965876466,-0.129798150130776,-0.643733903798925,-0.473607436236753,-1.24153256270812,-0.58608273010799,-0.737039050473167,-0.720209470354195,-0.79714487536132,-1.24198681405064,-0.554114075584977,-0.544823819548023,-0.586036527364934,1.07188200730613
"3",0.397940008672038,1.25042000230889,-0.730489682003987,-0.786155985786865,-0.357902471166809,-0.35291815488791,-0.39371579669114,-0.411644228864241,-0.311687041284337,-0.211555615087895,-1.52100423957108,-0.610086004990849,-0.639970204185662,-0.916750798496127,-0.681232939813546,-0.835197993852138,-0.82842989607523,-0.238629156253064,-1.06380804215566,-0.959451880040524,-1.04334423323653,-0.55900560493184,-0.827922871125118,-0.61361227605759,0.0926293990979184,-0.191366793373585,-0.709710274826667,-0.590282923313705,0.0680326119436044,1.1846914308176
