"","shadeindex","highlight","Amax","Amaxmass","Rd","Rdmass","Trmax","Trmaxmass","Tr0","Tr0mass","FvFm","Fv'/Fm'","NPQ","SLA","LDMC","thickness","spad","£_15N","N%","Narea","£_13C","pnue","Chlorophylltotal","Chlorophylla","Chlorophyllb","chlorophylla/b","Chlorophylltotalarea","Chlorophyllaarea","Chlorophyllbarea","dif"
"6",2.5,10.25,2.02548928872935,52.0240726204509,0.613037825,16.5888713657712,0.329920841135405,8.5989096662022,0.0741863573728105,2.06473074407874,0.7595,0.302,3.02075,270.908306180922,0.0564945006811065,0.918375,47.075,0.6955,2.64579910666014,0.997956303885613,-32.789625,0.02001081044975,7745.56568574563,5560.74454835891,2184.82113738672,2.54531443191212,29.5534574542111,21.2456992657244,8.30775818848673,7.75
"1",2.5,8.35,3.62906504972028,87.0644737200686,0.49614755,11.7582876277556,0.999072003110487,23.7967232523551,0.5128131110892,12.1737600374723,0.799666666666667,0.386666666666667,2.257,239.229683318054,0.42589596191891,0.09075,55.125,-1.52466666666667,2.60103356134241,1.09206803471837,-32.621125,0.0336919202094356,9910.1773284684,7453.29201992302,2456.88530854538,3.02254655600452,41.6721646708335,31.3473295249153,10.3248351459182,5.85
"2",3,10.5,4.20557301273239,111.522965805706,0.629215583333333,16.3690759072673,1.35744597444518,36.1451011048938,0.691008582248868,17.8690279881032,0.7845,0.413833333333333,2.47716666666667,271.22132719564,0.157690012546511,0.323,48.9333333333333,-0.000833333333333815,2.57508778170824,0.976491377497905,-32.740625,0.0433461652025581,9064.51046005742,6445.38315166692,2619.1273083905,2.48399041890109,33.6313724459066,23.937537312381,9.69383513352567,7.5
"5",5.2,21.1,6.54106507278883,266.539855690083,0.54182954,21.7640586974753,1.89027790339823,77.4147023906961,0.82539241053787,33.1738432610732,0.7896,0.4482,1.6128,403.666389780684,0.253431958339146,0.1143,46.61,-0.2438,3.01642689388657,0.747845453203782,-32.652025,0.0878012827404456,12719.2278429165,9232.61465436465,3486.61318855184,2.69403262165987,31.5948444744739,22.9705437079893,8.62430076648454,15.9
"7",2.5,11.05,4.07471886678129,269.269692222008,0.635013416666667,41.4425280255556,1.27079406621922,84.6300893185018,0.734267953011817,49.2452617494039,0.767,0.360166666666667,2.0215,652.982624836705,0.133218451174475,0.11,38.7666666666667,1.633125,4.63820622877042,0.71184753686977,-34.6362708333333,0.0573675289998736,18338.4436228538,13333.5732745139,5004.87034833987,2.67414226186921,28.2098673270232,20.5189710971906,7.69089622983257,8.55
"8",2.65,9.6,3.5329425379501,113.882148431487,0.6430068,20.7863703219463,1.07473634491054,34.8516330306873,0.559188436938185,17.9641669049293,0.7725,0.334833333333333,2.7065,323.994621247441,0.167888841536431,0.220583333333333,48.9833333333333,2.04883333333333,2.40998066707225,0.752695775674836,-33.541125,0.0476532428631165,9751.78569513505,7090.93131062387,2660.85438451119,2.68378544680939,29.7578549450282,21.6514023478821,8.10645259714608,6.95
"4",3.4,15.2,2.84383469684827,91.7575325146504,0.59660296,19.113760485318,0.613677566061029,19.4712946955055,0.201307744949895,6.34869247694522,0.7848,0.3678,2.4214,340.290940758413,0.237199369955465,0.1361,38.28,1.25065,2.23988385192381,0.674181407850263,-32.94485,0.0416690727654329,7694.69766524811,5727.52676895578,1967.17089629233,2.92134879116563,23.3123866803019,17.3600465595498,5.9523401207521,11.8
"3",2.5,17.8,3.95042529734056,211.867364381429,0.54346754,29.2079720980676,0.943870999756392,50.4898442937689,0.225867768095183,12.3301834836885,0.7822,0.459,1.9366,538.632276339398,0.0882776163169667,0.214,36.51,3.67905,3.92859192693474,0.731669049355359,-32.68785,0.0537877363971001,7176.43985611985,5641.06504330597,1535.37481281387,3.76462040383975,13.3858334744138,10.5208830826337,2.86495039178007,15.3
